id,class
201,0
202,1
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,1
225,0
226,0
227,1
228,1
229,1
230,1
231,0
232,1
233,0
234,0
235,1
236,1
237,1
238,1
239,1
240,0
241,1
242,1
243,0
244,1
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,1
255,0
256,0
257,0
258,1
259,1
260,0
261,1
262,0
263,0
264,0
265,1
266,1
267,1
268,0
269,1
270,0
271,1
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,1
293,0
294,1
295,0
296,1
297,0
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,0
315,0
316,1
317,1
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,0
